token		lexeme
keyword		function
identifier		calculate_area
separator		(
identifier		radius
separator		)
separator		{
keyword		real
identifier		pi
operator		=
real		3.14159
separator		;
keyword		integer
identifier		count
operator		=
integer		0
separator		;
keyword		while
separator		(
identifier		count
operator		<
integer		10
separator		)
separator		{
keyword		if
separator		(
identifier		radius
operator		=>
integer		0
separator		)
separator		{
keyword		write
separator		(
identifier		pi
operator		*
identifier		radius
operator		*
identifier		radius
separator		)
separator		;
separator		}
keyword		otherwise
separator		{
keyword		return
keyword		false
separator		;
separator		}
identifier		count
operator		=
identifier		count
operator		+
integer		1
separator		;
separator		}
separator		}
